rating_reviewcount,center1distance,center1label,center2distance,center2label,neighbourhood,price,starrating,accommodationtype,guestreviewsrating,hotel_id
36.0,2.7,City centre,4.4,Donauturm,17. Hernals,81,4.0,Apartment,4.4,21894
189.0,1.7,City centre,3.8,Donauturm,17. Hernals,81,4.0,Hotel,3.9,21897
53.0,1.4,City centre,2.5,Donauturm,Alsergrund,85,4.0,Hotel,3.7,21901
55.0,1.7,City centre,2.5,Donauturm,Alsergrund,83,3.0,Hotel,4,21902
33.0,1.2,City centre,2.8,Donauturm,Alsergrund,82,4.0,Hotel,3.9,21903
25.0,0.9,City centre,3.0,Donauturm,Alsergrund,229,5.0,Apartment,4.8,21904
57.0,0.9,City centre,2.4,Donauturm,Alsergrund,103,4.0,Hotel,3.9,21906
161.0,1.0,City centre,2.7,Donauturm,Alsergrund,150,4.0,Hotel,4.6,21907
50.0,0.7,City centre,2.7,Donauturm,Alsergrund,80,2.0,Hotel,3.5,21908
,1.5,City centre,2.7,Donauturm,Alsergrund,153,3.0,Apartment,nan,21910
203.0,1.1,City centre,2.7,Donauturm,Alsergrund,60,4.0,Hotel,4.1,21912
251.0,0.8,City centre,2.9,Donauturm,Alsergrund,128,4.0,Hotel,4,21913
142.0,1.0,City centre,2.3,Donauturm,Alsergrund,100,4.0,Apartment,4.5,21914
8.0,1.2,City centre,2.3,Donauturm,Alsergrund,143,2.0,Apartment,3.7,21915
,0.7,City centre,2.6,Donauturm,Alsergrund,106,2.5,Hotel,nan,21916
18.0,1.7,City centre,2.6,Donauturm,Alsergrund,85,4.0,Hotel,4.1,21917
20.0,0.9,City centre,2.8,Donauturm,Alsergrund,77,3.0,Hotel,3.7,21918
77.0,0.8,City centre,2.8,Donauturm,Alsergrund,78,3.0,Hotel,3.9,21919
76.0,0.9,City centre,2.8,Donauturm,Alsergrund,78,3.0,Hotel,4,21920
,3.4,City centre,0.6,Donauturm,Donaustadt,260,3.5,Apartment,nan,21921
5.0,3.4,City centre,0.6,Donauturm,Donaustadt,158,3.0,Apartment,4.8,21922
77.0,4.2,City centre,1.5,Donauturm,Donaustadt,77,3.0,Hotel,3.9,21924
193.0,3.9,City centre,1.9,Donauturm,Donaustadt,77,3.0,Hotel,2.7,21925
94.0,3.6,City centre,1.2,Donauturm,Donaustadt,95,4.0,Hotel,4.3,21926
1.0,3.8,City centre,1.2,Donauturm,Donaustadt,156,3.0,Apartment,3,21927
5.0,3.5,City centre,0.8,Donauturm,Donaustadt,145,3.0,Bed and breakfast,3.5,21928
178.0,2.9,City centre,0.6,Donauturm,Donaustadt,208,4.0,Hotel,4.1,21930
330.0,3.4,City centre,0.9,Donauturm,Donaustadt,87,3.0,Hotel,3.7,21933
6.0,2.3,City centre,4.9,Donauturm,Favoriten,131,2.0,Apartment,3.5,21934
194.0,2.0,City centre,4.5,Donauturm,Favoriten,54,3.0,Hotel,3.5,21935
9.0,2.4,City centre,5.0,Donauturm,Favoriten,139,2.0,Apartment,3,21936
3.0,2.8,City centre,5.3,Donauturm,Favoriten,184,2.0,Apartment,3.2,21937
1.0,2.9,City centre,5.2,Donauturm,Favoriten,127,3.0,Apartment,1,21938
,2.5,City centre,5.1,Donauturm,Favoriten,95,3.0,Apartment,nan,21939
441.0,1.7,City centre,4.2,Donauturm,Favoriten,99,3.5,Hotel,4.4,21940
1122.0,1.7,City centre,4.1,Donauturm,Favoriten,75,3.5,Hotel,4.4,21941
362.0,2.1,City centre,4.6,Donauturm,Favoriten,76,3.0,Hotel,4.4,21943
2.0,2.5,City centre,5.1,Donauturm,Favoriten,130,2.0,Apartment,3,21945
525.0,1.9,City centre,4.2,Donauturm,Favoriten,91,4.0,Hotel,4.5,21946
1.0,2.4,City centre,5.0,Donauturm,Favoriten,135,2.0,Apartment,3,21947
113.0,2.0,City centre,4.5,Donauturm,Favoriten,56,2.0,Hotel,2,21948
71.0,2.7,City centre,5.1,Donauturm,Favoriten,27,2.0,Hostel,3.7,21949
1.0,2.3,City centre,4.6,Donauturm,Favoriten,88,3.0,Apartment,3,21950
22.0,2.5,City centre,4.8,Donauturm,Favoriten,133,2.0,Apartment,3.5,21951
366.0,1.8,City centre,4.3,Donauturm,Favoriten,33,2.0,Hotel,3.4,21956
,2.0,City centre,4.4,Donauturm,Favoriten,116,3.5,Apartment,nan,21958
821.0,1.7,City centre,4.2,Donauturm,Favoriten,71,4.0,Hotel,4,21959
16.0,2.7,City centre,5.3,Donauturm,Favoriten,90,3.5,Apartment,3.5,21960
23.0,1.9,City centre,4.3,Donauturm,Favoriten,84,4.0,Apartment,4.1,21962
38.0,2.3,City centre,4.7,Donauturm,Favoriten,63,3.0,Guest House,4.3,21963
77.0,0.2,City centre,2.9,Donauturm,Graben,113,3.0,Hotel,4.4,21965
27.0,0.1,City centre,2.9,Donauturm,Graben,218,4.5,Apartment,4.1,21966
144.0,0.1,City centre,2.8,Donauturm,Graben,299,5.0,Hotel,4.5,21967
184.0,0.3,City centre,2.6,Donauturm,Innere Stadt,156,3.0,Hotel,4.5,21968
78.0,0.3,City centre,2.8,Donauturm,Innere Stadt,513,5.0,Hotel,4.8,21969
319.0,0.3,City centre,2.6,Donauturm,Innere Stadt,133,4.0,Hotel,4.3,21970
73.0,0.5,City centre,3.1,Donauturm,Innere Stadt,123,4.0,Hotel,4.1,21971
81.0,0.3,City centre,3.0,Donauturm,Innere Stadt,219,4.0,Hotel,4.5,21972
271.0,0.3,City centre,3.0,Donauturm,Innere Stadt,152,4.0,Hotel,4.3,21973
211.0,0.1,City centre,2.7,Donauturm,Innere Stadt,115,4.0,Hotel,4.3,21975
5.0,0.3,City centre,2.8,Donauturm,Innere Stadt,806,5.0,Hotel,4.5,21976
316.0,0.2,City centre,2.6,Donauturm,Innere Stadt,138,4.0,Hotel,4.5,21977
28.0,0.4,City centre,2.5,Donauturm,Innere Stadt,95,3.0,Apartment,3.7,21979
336.0,0.1,City centre,2.9,Donauturm,Innere Stadt,146,4.0,Hotel,4.4,21980
83.0,0.7,City centre,3.1,Donauturm,Innere Stadt,103,3.0,Pension,4,21981
,0.5,City centre,3.3,Donauturm,Innere Stadt,125,3.5,Apartment,nan,21983
88.0,0.5,City centre,2.6,Donauturm,Innere Stadt,98,3.0,Hotel,3.7,21984
140.0,0.3,City centre,2.5,Donauturm,Innere Stadt,121,3.5,Hotel,4.5,21985
391.0,0.2,City centre,2.6,Donauturm,Innere Stadt,149,4.0,Hotel,4,21986
320.0,0.3,City centre,2.5,Donauturm,Innere Stadt,120,3.0,Hotel,3.9,21987
21.0,0.4,City centre,2.9,Donauturm,Innere Stadt,157,3.0,Hotel,4.4,21988
193.0,0.3,City centre,3.1,Donauturm,Innere Stadt,261,5.0,Hotel,4.8,21989
75.0,0.7,City centre,3.4,Donauturm,Innere Stadt,145,3.5,Apartment,4.1,21990
35.0,0.2,City centre,2.6,Donauturm,Innere Stadt,275,4.0,Apartment,4.3,21991
,0.2,City centre,2.9,Donauturm,Innere Stadt,253,3.5,Apartment,nan,21992
,0.2,City centre,2.9,Donauturm,Innere Stadt,209,4.0,Apartment,nan,21993
505.0,0.2,City centre,2.9,Donauturm,Innere Stadt,112,4.0,Hotel,4,21995
386.0,0.3,City centre,2.5,Donauturm,Innere Stadt,138,4.0,Hotel,4.3,21996
109.0,0.4,City centre,2.6,Donauturm,Innere Stadt,84,3.0,Pension,4,21997
626.0,0.3,City centre,2.9,Donauturm,Innere Stadt,199,4.5,Hotel,4.5,21998
334.0,0.3,City centre,2.9,Donauturm,Innere Stadt,203,5.0,Hotel,4.4,21999
,0.2,City centre,2.7,Donauturm,Innere Stadt,116,3.0,Vacation home Condo,nan,22001
,0.2,City centre,2.7,Donauturm,Innere Stadt,107,3.5,Apartment,nan,22002
,0.2,City centre,2.7,Donauturm,Innere Stadt,127,3.5,Apartment,nan,22003
,0.2,City centre,2.7,Donauturm,Innere Stadt,104,3.5,Apartment,nan,22004
11.0,0.2,City centre,2.6,Donauturm,Innere Stadt,168,3.5,Apartment,4,22005
150.0,0.5,City centre,3.2,Donauturm,Innere Stadt,544,5.0,Hotel,4.8,22006
531.0,0.5,City centre,3.2,Donauturm,Innere Stadt,252,5.0,Hotel,4.6,22007
253.0,0.5,City centre,3.2,Donauturm,Innere Stadt,323,5.0,Hotel,4.5,22008
47.0,0.3,City centre,3.1,Donauturm,Innere Stadt,158,3.0,Hotel,4.3,22009
19.0,0.2,City centre,2.7,Donauturm,Innere Stadt,156,3.5,Apartment,4,22010
124.0,0.2,City centre,2.6,Donauturm,Innere Stadt,218,4.0,Hotel,4.6,22011
115.0,0.1,City centre,2.7,Donauturm,Innere Stadt,218,4.0,Hotel,4.5,22012
110.0,0.3,City centre,2.6,Donauturm,Innere Stadt,135,3.0,Hotel,3.9,22013
16.0,0.6,City centre,2.6,Donauturm,Innere Stadt,219,2.0,Apartment,4,22014
467.0,0.5,City centre,3.3,Donauturm,Innere Stadt,179,4.0,Hotel,4.4,22016
,0.5,City centre,3.3,Donauturm,Innere Stadt,511,3.5,Apartment,nan,22017
650.0,0.7,City centre,3.5,Donauturm,Innere Stadt,157,4.0,Hotel,4.5,22018
95.0,0.3,City centre,2.8,Donauturm,Innere Stadt,146,4.0,Hotel,4.5,22019
564.0,0.4,City centre,2.9,Donauturm,Innere Stadt,200,5.0,Hotel,4.3,22020
168.0,0.1,City centre,2.8,Donauturm,Innere Stadt,157,4.0,Hotel,4.1,22021
,0.3,City centre,2.6,Donauturm,Innere Stadt,138,4.0,Apartment,nan,22022
175.0,0.3,City centre,2.5,Donauturm,Innere Stadt,108,3.0,Hotel,3.5,22023
,0.2,City centre,2.6,Donauturm,Innere Stadt,290,3.5,Apartment,nan,22025
426.0,0.8,City centre,3.1,Donauturm,Innere Stadt,127,4.0,Hotel,4,22026
1.0,0.7,City centre,3.0,Donauturm,Innere Stadt,114,3.0,Guest House,3,22027
148.0,0.4,City centre,2.7,Donauturm,Innere Stadt,163,4.0,Hotel,4.1,22028
163.0,0.2,City centre,2.8,Donauturm,Innere Stadt,116,4.0,Apart-hotel,4.5,22029
493.0,0.5,City centre,3.3,Donauturm,Innere Stadt,226,5.0,Hotel,4.3,22030
56.0,0.1,City centre,2.7,Donauturm,Innere Stadt,231,4.0,Hotel,4.4,22031
247.0,0.4,City centre,2.6,Donauturm,Innere Stadt,116,4.0,Hotel,4.4,22032
169.0,0.4,City centre,2.6,Donauturm,Innere Stadt,76,3.0,Guest House,3.7,22033
1.0,0.3,City centre,2.6,Donauturm,Innere Stadt,135,3.5,Apartment,1,22034
599.0,0.6,City centre,2.7,Donauturm,Innere Stadt,184,5.0,Hotel,4.5,22035
258.0,0.6,City centre,2.5,Donauturm,Innere Stadt,384,5.0,Hotel,4.8,22036
703.0,0.6,City centre,2.8,Donauturm,Innere Stadt,166,4.0,Hotel,4.3,22037
230.0,0.5,City centre,3.1,Donauturm,Innere Stadt,187,5.0,Hotel,4.1,22038
112.0,0.5,City centre,3.1,Donauturm,Innere Stadt,371,5.0,Hotel,4.6,22039
278.0,0.1,City centre,2.7,Donauturm,Innere Stadt,156,4.0,Pension,4.4,22040
,0.3,City centre,2.5,Donauturm,Innere Stadt,220,3.5,Apartment,nan,22041
81.0,0.3,City centre,2.5,Donauturm,Innere Stadt,169,4.0,Hotel,4.5,22042
,0.3,City centre,2.7,Donauturm,Innere Stadt,103,3.0,Apartment,nan,22043
15.0,0.3,City centre,2.6,Donauturm,Innere Stadt,266,5.0,Apartment,4.5,22044
203.0,0.1,City centre,2.9,Donauturm,Innere Stadt,131,3.0,Pension,3.9,22045
150.0,0.2,City centre,2.8,Donauturm,Innere Stadt,168,4.0,Apartment,4.6,22046
,0.2,City centre,2.6,Donauturm,Innere Stadt,101,3.0,Apartment,nan,22047
,0.2,City centre,3.0,Donauturm,Innere Stadt,364,3.5,Apartment,nan,22049
404.0,0.0,City centre,2.8,Donauturm,Innere Stadt,242,4.0,Hotel,4.8,22050
404.0,0.0,City centre,2.8,Donauturm,Innere Stadt,242,4.0,Hotel,4.8,22050
123.0,0.5,City centre,2.4,Donauturm,Innere Stadt,223,4.0,Hotel,3.5,22051
653.0,0.3,City centre,2.7,Donauturm,Innere Stadt,149,4.0,Hotel,4.4,22052
,0.2,City centre,2.7,Donauturm,Innere Stadt,232,3.5,Apartment,nan,22053
388.0,0.5,City centre,2.3,Donauturm,Innere Stadt,114,4.0,Hotel,4,22054
1.0,0.1,City centre,2.8,Donauturm,Innere Stadt,253,3.5,Apartment,2,22055
230.0,0.3,City centre,2.6,Donauturm,Innere Stadt,163,4.0,Apart-hotel,4.4,22057
69.0,0.4,City centre,3.1,Donauturm,Innere Stadt,116,3.0,Pension,4.1,22059
34.0,0.2,City centre,2.9,Donauturm,Innere Stadt,139,4.0,Hotel,3.5,22061
6.0,0.2,City centre,2.7,Donauturm,Innere Stadt,91,3.5,Apartment,3.2,22063
102.0,1.4,City centre,3.6,Donauturm,Josefstadt,79,3.0,Hotel,3.5,22064
65.0,1.1,City centre,3.2,Donauturm,Josefstadt,66,4.0,Pension,3.7,22065
9.0,1.1,City centre,3.2,Donauturm,Josefstadt,100,3.0,Apartment,3,22066
11.0,1.3,City centre,3.4,Donauturm,Josefstadt,75,2.5,Pension,3,22067
51.0,1.2,City centre,3.3,Donauturm,Josefstadt,73,2.0,Pension,3.5,22068
298.0,0.8,City centre,3.4,Donauturm,Josefstadt,127,5.0,Hotel,4.1,22069
354.0,0.9,City centre,3.4,Donauturm,Josefstadt,110,3.0,Hotel,4.1,22071
92.0,0.9,City centre,3.3,Donauturm,Josefstadt,88,3.0,Hotel,4.4,22072
66.0,1.2,City centre,3.5,Donauturm,Josefstadt,59,3.0,Pension,3.7,22073
,1.6,City centre,3.8,Donauturm,Josefstadt,355,4.0,Apartment,nan,22074
128.0,1.6,City centre,3.7,Donauturm,Josefstadt,59,3.0,Hotel,3.9,22075
530.0,0.9,City centre,3.4,Donauturm,Josefstadt,119,4.0,Hotel,4,22076
342.0,0.9,City centre,3.4,Donauturm,Josefstadt,152,4.0,Hotel,4.3,22077
194.0,1.0,City centre,3.4,Donauturm,Josefstadt,102,4.0,Hotel,4,22078
1.0,1.5,City centre,3.5,Donauturm,Josefstadt,363,3.5,Apartment,5,22079
63.0,1.1,City centre,3.4,Donauturm,Josefstadt,54,3.0,Hotel,3.2,22080
67.0,1.1,City centre,3.3,Donauturm,Josefstadt,101,3.0,Apartment,4,22081
84.0,0.9,City centre,3.5,Donauturm,Josefstadt,75,2.0,Hotel,4,22082
30.0,0.9,City centre,3.5,Donauturm,Josefstadt,73,2.0,Hotel,3.9,22083
169.0,1.0,City centre,3.4,Donauturm,Josefstadt,94,3.0,Hotel,4.1,22084
65.0,1.1,City centre,3.3,Donauturm,Josefstadt,64,4.0,Pension,3.5,22085
91.0,1.0,City centre,3.3,Donauturm,Josefstadt,81,3.5,Apart-hotel,3.7,22086
1.0,1.6,City centre,4.0,Donauturm,Josefstadt,162,3.0,Apartment,4,22087
765.0,0.9,City centre,3.5,Donauturm,Josefstadt,115,4.0,Hotel,4.5,22088
80.0,1.2,City centre,3.8,Donauturm,Josefstadt,101,4.0,Apartment,4.4,22089
43.0,0.9,City centre,3.2,Donauturm,Josefstadt,68,3.0,Hotel,3.7,22090
78.0,0.4,City centre,3.2,Donauturm,Kaerntner Strasse,354,5.0,Hotel,4.5,22092
184.0,0.2,City centre,3.0,Donauturm,Kaerntner Strasse,153,4.0,Hotel,4.1,22093
276.0,0.2,City centre,3.0,Donauturm,Kaerntner Strasse,202,5.0,Hotel,4.3,22094
313.0,0.3,City centre,3.1,Donauturm,Kaerntner Strasse,169,4.0,Hotel,4.1,22095
323.0,0.5,City centre,3.3,Donauturm,Kaerntner Strasse,182,4.0,Hotel,4.5,22097
,0.1,City centre,2.9,Donauturm,Kaerntner Strasse,193,3.0,Apartment,nan,22098
90.0,0.2,City centre,3.0,Donauturm,Kaerntner Strasse,138,4.0,Pension,4.1,22099
140.0,0.4,City centre,3.1,Donauturm,Kaerntner Strasse,527,5.0,Hotel,4.8,22100
512.0,0.1,City centre,2.8,Donauturm,Kaerntner Strasse,142,4.0,Hotel,4.4,22101
,0.4,City centre,3.1,Donauturm,Kaerntner Strasse,98,3.5,Apartment,nan,22102
340.0,0.6,City centre,3.2,Donauturm,Landstrasse,110,4.0,Hotel,4.3,22104
34.0,1.9,City centre,3.2,Donauturm,Landstrasse,82,3.5,Apartment,4.1,22107
26.0,0.9,City centre,2.4,Donauturm,Landstrasse,91,3.5,Apartment,2.5,22108
,1.6,City centre,3.0,Donauturm,Landstrasse,150,3.5,Apartment,nan,22109
97.0,1.7,City centre,3.0,Donauturm,Landstrasse,83,3.5,Apartment,4.4,22110
11.0,1.8,City centre,3.1,Donauturm,Landstrasse,95,4.5,Apartment,4,22111
15.0,1.4,City centre,2.8,Donauturm,Landstrasse,131,3.0,Apartment,3.7,22112
84.0,1.1,City centre,2.8,Donauturm,Landstrasse,162,4.0,Bed and breakfast,4.8,22113
152.0,0.5,City centre,3.0,Donauturm,Landstrasse,177,5.0,Hotel,4.3,22114
3.0,1.5,City centre,3.6,Donauturm,Landstrasse,122,2.0,Apartment,4,22115
25.0,1.6,City centre,3.7,Donauturm,Landstrasse,79,3.0,Apartment,2,22116
181.0,1.4,City centre,3.1,Donauturm,Landstrasse,82,4.0,Hotel,4,22117
359.0,1.7,City centre,3.3,Donauturm,Landstrasse,82,4.0,Hotel,4.1,22118
160.0,1.8,City centre,3.4,Donauturm,Landstrasse,66,3.0,Hotel,3.9,22119
303.0,0.8,City centre,2.7,Donauturm,Landstrasse,169,4.0,Hotel,4.1,22120
254.0,0.8,City centre,2.7,Donauturm,Landstrasse,59,3.0,Guest House,3.7,22122
173.0,1.5,City centre,3.8,Donauturm,Landstrasse,109,4.0,Hotel,4.1,22123
114.0,0.7,City centre,2.6,Donauturm,Landstrasse,104,3.0,Hotel,3.4,22125
249.0,0.9,City centre,2.5,Donauturm,Landstrasse,145,3.5,Hotel,4.3,22126
1.0,1.4,City centre,3.6,Donauturm,Landstrasse,58,3.5,Apartment,2,22127
6.0,1.3,City centre,3.4,Donauturm,Landstrasse,107,4.0,Vacation home Condo,4.3,22129
13.0,0.8,City centre,2.1,Donauturm,Landstrasse,85,3.0,Hotel,3.5,22130
18.0,0.7,City centre,2.2,Donauturm,Landstrasse,184,4.0,Apartment,4.5,22131
497.0,1.0,City centre,3.3,Donauturm,Landstrasse,137,4.5,Hotel,4.1,22132
503.0,1.1,City centre,3.3,Donauturm,Landstrasse,116,4.5,Hotel,4.5,22134
70.0,1.1,City centre,3.3,Donauturm,Landstrasse,157,2.0,Apartment,3.7,22135
109.0,1.3,City centre,3.3,Donauturm,Landstrasse,110,3.0,Hotel,3.7,22136
171.0,0.6,City centre,3.0,Donauturm,Landstrasse,134,4.0,Hotel,4.3,22138
79.0,1.3,City centre,3.3,Donauturm,Landstrasse,79,4.0,Hotel,3.7,22140
13.0,1.4,City centre,3.3,Donauturm,Landstrasse,143,3.0,Apartment,4.5,22141
281.0,1.0,City centre,3.2,Donauturm,Landstrasse,132,4.0,Hotel,4.1,22142
